Ricerca nel catalogo - del 21/01/2020 17:27;;;;;;;;;;
Codice;Ean 13;Titolo;Autore;Editore;Prezzo Copertina;Codice Collana;Collana;Argomento;Linea Prodotto;Disponibilità
880461230      ;2288804612300;.MAGIA DELL'ARENA                  ;Lucas Uliano                  ;FOTOGRAMMA EDIZIONI SRL            ;5,00;1862;FOTO LIBRI ILLUSTRATI              ;MUSICA CINEMA SPETTACOLO           ;Prezzo al Pubblico      1;20
882005076      ;9788820050764;(DIS)AVVENTURE DI UNA WEDDING PLANN;McQueen Holly                 ;SPERLING & KUPFER                  ;17,90;9056;SPER PANDORA                       ;NARRATIVA STRANIERA                ;Metà Prezzo             1;684
885663195      ;9788856631951;A BRACCIA APERTE FRA LE NUVOLE     ;Salvatore Fabio               ;PIEMME                             ;9,00;4406;PIEM BESTSELLER SPIRITUALITA'      ;RELIGIONE E ANTROPOLOGIA           ;Metà Prezzo             1;455
887307635      ;9788873076353;A CACCIA DI ALIENI                 ;Brake Mark                    ;EDITORIALE SCIENZA                 ;7,90;6650;EDSC A TUTTA SCIENZA               ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;87
886192320      ;9788861923201;A CACCIA DI DRAGHI                 ;Fleming Fergus                ;ELLIOT                             ;22,00;4270;ELLI ANTIDOTI                      ;SPORT BENESSERE                    ;Metà Prezzo             1;154
888279250      ;9788882792503;A CASA                             ;aa.vv                         ;MOTTA JUNIOR                       ;6,90;12;MOJU VARIA RAGAZZI                 ;BAMBINI E CARTONATI                ;Metà Prezzo             1;7
886688052      ;9788866880523;A CASA DEL DIAVOLO                 ;De Marco Romano               ;TIME CRIME                         ;9,90;2441;TIME NERO ITALIANO                 ;GIALLI THRILLER E HORROR           ;Metà Prezzo             1;463
883179123      ;9788831791236;A CASA NOSTRA                      ;Bernini Franco                ;MARSILIO EDITORI                   ;10,00;K658;MARS NUOVOCINEMA                   ;MUSICA CINEMA SPETTACOLO           ;Metà Prezzo             1;47
888490586      ;9788884905864;A CASA NOSTRA                      ;Zornetta Monica               ;BALDINI CASTOLDI DALAI EDITORE     ;18,50;2082;BALD I SAGGI                       ;STORIA                             ;Metà Prezzo             1;30
887926846      ;9788879268462;A CAVALLO FRA I CASTELLI           ;Piumini Roberto               ;EINAUDI RAGAZZI                    ;8,50;9561;EINR STORIE E RIME                 ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;3
880454970      ;9788804549703;A CHE COSA SERVE IL SINDACATO?     ;Ichino Pietro                 ;MONDADORI                          ;17,50;1532;MOND FRECCE                        ;POLITICA SOCIETA'E ATTUALITA'      ;Metà Prezzo             1;18
886256827      ;9788862568272;A CHE COSA SERVE LA FILOSOFIA ?    ;Jouary Jean Paul              ;SALANI CASA EDITRICE               ;8,00;4346;SALA BIBLIOTECA ECONOMICA          ;FILOSOFIA                          ;Metà Prezzo             1;298
883277028      ;9788832770285;A CIASCUNO I PROPRI OCCHIALI       ;Penners Bernd                 ;LIBRIDO GALLUCCI                   ;12,90;7808;LIGA PRIMI LIBRI                   ;BAMBINI E CARTONATI                ;Metà Prezzo             1;1837
884040004      ;3788840400040;A CIASCUNO IL SUO                  ;aa.vv                         ;SOLE EDIZIONI 24 ORE               ;12,90;6011;SOLE LA GRANDE PASTICCERIA D'AUTORE;CUCINA E BEVANDE                   ;Metà Prezzo             1;1592
888490911      ;9788884909114;A COLAZIONE CON TENNESSEE WILLIAMS ;Longo Freddy                  ;BALDINI CASTOLDI DALAI EDITORE     ;15,00;2081;BALD ROMANZI E RACCONTI            ;NARRATIVA ITALIANA                 ;Metà Prezzo             1;210
886055080      ;9788860550804;A COLORI                           ;Fagnoni Raffaella             ;ALINEA EDITRICE                    ;25,00;7823;ALED DESIGN E                      ;ILLUSTRATI VARI                    ;Metà Prezzo             1;459
888916040      ;9788889160404;A COME AVVENTURA                   ;Maspero Anna                  ;FBE EDIZIONI                       ;13,00;7053;FBE  LE CARAVELLE                  ;SAGGISTICA                         ;Metà Prezzo             1;28
886087138      ;9788860871381;A COMMENTARE DANTE CI VUOLE UN MEDI;Bufacchi Emanuela             ;LE LETTERE                         ;32,00;7684;LELE LA NUOVA MERIDIANA            ;SAGGISTICA                         ;Metà Prezzo             1;24
886040220      ;9788860402202;A CONOSCERE LA MIA SORELLINA       ;Sarfatti Anna                 ;EDT                                ;7,00;5019;EDT  OSCAR DOVE SEI?               ;LIBRI PER RAGAZZI                  ;Metà Prezzo             1;685
884527137      ;9788845271373;A CONTI FATTI O QUASI              ;Hessel Stephane               ;BOMPIANI                           ;14,50;1128;BOMP GRANDI PASSAGGI               ;BIOGRAFIE                          ;Metà Prezzo             1;78
889180124      ;9788891801241;A CONTRO TUTTI                     ;Scalcione Marco               ;ELECTA EDITORE                     ;14,90;6789;ELEC KIDS                          ;BAMBINI E CARTONATI                ;Metà Prezzo             1;104
886710081      ;9788867100811;A COSA SERVE IL CANE ?             ;Homans John                   ;ORME EDITORE                       ;18,50;3243;ORME FUORI COLLANA                 ;MANUALISTICA VARIA                 ;Metà Prezzo             1;5386
886508298      ;9788865082980;A FIOR DI PELLE                    ;Dane Lauren                   ;LEGGEREDITORE                      ;12,00;4365;LEGG NARRATIVA                     ;NARRATIVA STRANIERA                ;Metà Prezzo             1;186
889151553      ;9788891515537;A FIOR DI PELLE                    ;Jackson Sophie                ;FABBRI                             ;15,90;4831;FABB LIFE                          ;NARRATIVA STRANIERA                ;Metà Prezzo             1;85
887550033      ;9788875500337;A FUOCO LENTO                      ;Glynn Joanne                  ;LUXURY BOOKS                       ;28,00;6801;LUXU GRANDI MANUALI CUCINA         ;CUCINA E BEVANDE                   ;Metà Prezzo             1;536
